"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02172V02618","Taxation Class","C03396V04087","Colour","UNIT","VALUE"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","12","Red","Number","522"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","13","Bronze","Number","12"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","14","Gold","Number","185"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","15","Silver","Number","1208"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","17","Multi-coloured","Number","9"
"TEA26","New and Secondhand Vehicles","2010","2010","01606","New Other Vehicles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","-","All colours","Number","39103"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","01","Black","Number","8955"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","02","Grey","Number","5062"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","03","White","Number","1244"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","04","Beige","Number","268"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","05","Brown","Number","48"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","06","Orange","Number","79"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","07","Yellow","Number","103"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","08","Green","Number","1194"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","09","Blue","Number","7727"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","10","Purple","Number","93"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","11","Pink","Number","26"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","12","Red","Number","3092"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","13","Bronze","Number","65"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","14","Gold","Number","207"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","15","Silver","Number","10926"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","17","Multi-coloured","Number","14"
"TEA26","New and Secondhand Vehicles","2010","2010","021","Secondhand Private Cars","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","-","All colours","Number","8207"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","01","Black","Number","450"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","02","Grey","Number","175"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","03","White","Number","4613"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","04","Beige","Number","9"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","05","Brown","Number","4"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","06","Orange","Number","45"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","07","Yellow","Number","156"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","08","Green","Number","287"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","09","Blue","Number","941"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","10","Purple","Number","6"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","12","Red","Number","774"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","13","Bronze","Number","3"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","14","Gold","Number","16"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","15","Silver","Number","656"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","17","Multi-coloured","Number","72"
"TEA26","New and Secondhand Vehicles","2010","2010","022","Secondhand Goods Vehicles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","-","All colours","Number","2194"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","01","Black","Number","17"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","02","Grey","Number","10"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","03","White","Number","37"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","04","Beige","Number","2"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","05","Brown","Number","49"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","06","Orange","Number","62"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","07","Yellow","Number","58"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","08","Green","Number","340"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","09","Blue","Number","732"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","10","Purple","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","12","Red","Number","818"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","13","Bronze","Number","2"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","14","Gold","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","15","Silver","Number","8"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","17","Multi-coloured","Number","53"
"TEA26","New and Secondhand Vehicles","2010","2010","023","Secondhand Tractors","18","Other","Number","5"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","-","All colours","Number","4893"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","01","Black","Number","450"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","02","Grey","Number","239"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","03","White","Number","1104"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","04","Beige","Number","88"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","05","Brown","Number","92"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","06","Orange","Number","89"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","07","Yellow","Number","407"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","08","Green","Number","328"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","09","Blue","Number","712"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","10","Purple","Number","15"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","12","Red","Number","762"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","13","Bronze","Number","16"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","14","Gold","Number","86"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","15","Silver","Number","454"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","17","Multi-coloured","Number","50"
"TEA26","New and Secondhand Vehicles","2010","2010","024","Secondhand Other Vehicles","18","Other","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","-","All colours","Number","2945"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","01","Black","Number","686"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","02","Grey","Number","86"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","03","White","Number","175"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","04","Beige","Number","20"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","05","Brown","Number","8"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","06","Orange","Number","60"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","07","Yellow","Number","117"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","08","Green","Number","169"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","09","Blue","Number","570"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","10","Purple","Number","29"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","12","Red","Number","649"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","13","Bronze","Number","9"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","14","Gold","Number","25"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","15","Silver","Number","257"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","17","Multi-coloured","Number","85"
"TEA26","New and Secondhand Vehicles","2010","2010","025","Secondhand Motor Cycles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","-","All colours","Number","124010"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","01","Black","Number","29610"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","02","Grey","Number","19722"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","03","White","Number","3176"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","04","Beige","Number","1295"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","05","Brown","Number","997"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","06","Orange","Number","196"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","07","Yellow","Number","358"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","08","Green","Number","1733"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","09","Blue","Number","18543"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","10","Purple","Number","304"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","11","Pink","Number","40"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","12","Red","Number","12100"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","13","Bronze","Number","197"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","14","Gold","Number","4297"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","15","Silver","Number","31427"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","16","Navy","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","17","Multi-coloured","Number","14"
"TEA26","New and Secondhand Vehicles","2010","2010","03","All Private Cars","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","-","All colours","Number","18717"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","01","Black","Number","1619"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","02","Grey","Number","670"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","03","White","Number","8988"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","04","Beige","Number","67"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","05","Brown","Number","26"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","06","Orange","Number","55"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","07","Yellow","Number","286"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","08","Green","Number","1140"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","09","Blue","Number","1899"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","10","Purple","Number","29"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","12","Red","Number","1742"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","13","Bronze","Number","10"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","14","Gold","Number","81"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","15","Silver","Number","2025"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","17","Multi-coloured","Number","80"
"TEA26","New and Secondhand Vehicles","2010","2010","04","All Goods Vehicles","18","Other","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","-","All colours","Number","3553"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","01","Black","Number","33"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","02","Grey","Number","10"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","03","White","Number","37"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","04","Beige","Number","3"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","05","Brown","Number","53"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","06","Orange","Number","94"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","07","Yellow","Number","84"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","08","Green","Number","767"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","09","Blue","Number","1018"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","10","Purple","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","11","Pink","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","12","Red","Number","1364"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","13","Bronze","Number","2"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","14","Gold","Number","1"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","15","Silver","Number","22"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","16","Navy","Number","0"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","17","Multi-coloured","Number","60"
"TEA26","New and Secondhand Vehicles","2010","2010","05","All Tractors","18","Other","Number","5"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","-","All colours","Number","4266"
"TEA26","New and Secondhand Vehicles","2010","2010","06","All Motor Cycles","01","Black","Number","1118"
